factor_id,country_code,energy_type,effective_from,effective_to,kgco2e_per_kwh,methodology
IN-GRID-2026-v1,IN,electricity,2026-01-01,2026-12-31,0.708,location_based
IN-GAS-2026-v1,IN,natural_gas,2026-01-01,2026-12-31,0.202,location_based
